,left_ear,right_ear,ear,left_eye_width,left_eye_height_1,left_eye_height_2,right_eye_width,right_eye_height_1,right_eye_height_2,label,outlier_feature_count,outlier_features
581,0.3462650560452329,0.3053964295386802,0.3258307427919565,0.0319973063702366,0.0111982622347364,0.0109608359324365,0.0301474452159685,0.0087030379183312,0.0097108063390083,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
582,0.3609849420245442,0.3546160967307311,0.3578005193776377,0.0312445380130226,0.0114127488928347,0.0111448665935945,0.0296958363262603,0.0099672075418533,0.0110940355924927,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
583,0.3371318629310564,0.3759269210257936,0.356529391978425,0.0301951193705262,0.0103742313988984,0.0099852422907238,0.02870918786442,0.0102741905012593,0.0113109226967857,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
632,0.3064826548055989,0.3479650320556767,0.3272238434306378,0.0317386586751982,0.0098771317861516,0.0095775649553353,0.0307999635362432,0.0102804317112548,0.0111541888871502,CLOSED,3,"ear, left_eye_height_1, left_eye_height_2"
633,0.2980714510997618,0.3465118999114784,0.3222916755056201,0.0315089661580745,0.0097098734904746,0.0090739730403064,0.0306139515211746,0.0101938505827201,0.01102234642808,CLOSED,2,"ear, left_eye_height_1"
746,0.1975764349295487,0.4114347484684021,0.3045055916989754,0.0369260041193935,0.0074859131322507,0.0071055033679564,0.0185978447901781,0.0080382860321325,0.0072653131544701,CLOSED,1,right_ear
747,0.1815407813059597,0.4417897845217607,0.3116652829138602,0.0381739487642762,0.0070608371395654,0.0067994198288353,0.0183405435685668,0.0084241137266305,0.0077812158557076,CLOSED,1,right_ear
748,0.227015291382669,0.4067441342992655,0.3168797128409673,0.0354464549559678,0.0084409989764328,0.0076527756241905,0.0181065192779948,0.0074794948916228,0.0072499461261791,CLOSED,2,"right_ear, ear"
756,0.3200672970849868,0.3074772987359861,0.3137722979104864,0.030480583991459,0.0105555167462997,0.0089561595171366,0.0346984857525116,0.0104629336483815,0.0108750596904412,CLOSED,2,"left_ear, left_eye_height_1"
757,0.338936696966415,0.3266772594558033,0.3328069782111091,0.0304676218661609,0.0111887833432052,0.0094644068962714,0.0346887604743065,0.0111014277586432,0.0115626306526873,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
758,0.3258916579584325,0.3262951806434948,0.3260934193009637,0.0297496183797539,0.0106011666833387,0.0087891382314785,0.034408889917202,0.0108759816680726,0.0115789282344784,CLOSED,3,"left_ear, ear, left_eye_height_1"
836,0.3005203223933305,0.3767061990667392,0.3386132607300348,0.0311249911736335,0.009579560193927,0.0091278245700527,0.0305181482563788,0.0107195811147145,0.0122731701497169,CLOSED,2,"right_ear, ear"
837,0.3236826872811001,0.3345456504216484,0.3291141688513743,0.031043595828368,0.0101887788622384,0.0099077701789505,0.0311550241405862,0.0096097826546118,0.0112357729754173,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
838,0.3405762020035934,0.3341613715933805,0.337368786798487,0.0315621682638589,0.010996748703646,0.0105018980849607,0.031272473777207,0.0096590246711878,0.0112410807898312,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
839,0.3267240040370723,0.3489178332838702,0.3378209186604713,0.0331390067395299,0.0112174617813555,0.0104371561621459,0.0311943534052681,0.0101749404508513,0.0115935919508635,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
840,0.3165736081922663,0.3163447704131781,0.3164591893027222,0.0327572677540565,0.0107592943308904,0.0099808785639532,0.0314304765901577,0.0091929467745365,0.0106927870272438,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
841,0.2945245914575582,0.3044634927400645,0.2994940420988114,0.032622098558224,0.0099727743549494,0.0092432461457488,0.0317040600787129,0.0088336422164382,0.0104718155147733,CLOSED,2,"left_eye_height_1, left_eye_height_2"
844,0.2627283743581204,0.3738398958236911,0.3182841350909058,0.0336723021246144,0.0091887920351544,0.0085045463610364,0.0309588626648983,0.0107269529319624,0.0124203630549687,CLOSED,3,"right_ear, ear, right_eye_height_2"
845,0.2947666818427312,0.3782470227373182,0.3365068522900247,0.0334805270438582,0.0102058308130141,0.0095320569131137,0.0305693004948782,0.010785523421156,0.0123399703775441,CLOSED,4,"right_ear, ear, left_eye_height_1, left_eye_height_2"
846,0.2909824117842064,0.3565837471568751,0.3237830794705407,0.0334719691447223,0.0099840630946091,0.0094954455231865,0.0299834747710265,0.0099402394702687,0.0114430001030038,CLOSED,3,"ear, left_eye_height_1, left_eye_height_2"
847,0.304680255964968,0.3465984660903779,0.325639361027673,0.0340283619190588,0.0107019092702219,0.0100336307689129,0.0300891161677353,0.009749218915122,0.0111084641043825,CLOSED,3,"ear, left_eye_height_1, left_eye_height_2"
848,0.2949717330307226,0.3744522076305939,0.3347119703306582,0.0336270863560574,0.0101242124756742,0.0097138674027658,0.0302082116810908,0.0106081795695343,0.0120148835355791,CLOSED,4,"right_ear, ear, left_eye_height_1, left_eye_height_2"
849,0.3123372221359042,0.3637136304387235,0.3380254262873139,0.0334604489065221,0.0106535311620993,0.0102483561636675,0.0299492369743994,0.0102374349439065,0.0115484564737504,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
850,0.3274064395811876,0.3587648257475362,0.3430856326643619,0.0338977868655032,0.0112755643112151,0.0109211431034175,0.0296670033140244,0.0099707989910156,0.0113161555577994,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
851,0.3189487535244497,0.3763856179891121,0.3476671857567809,0.0337093290493236,0.0109359863350244,0.0105671106298301,0.0297870589686168,0.0105158980902608,0.0119069431057011,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
852,0.2861165033777562,0.3314213271856739,0.3087689152817151,0.0345126242766738,0.0101852312127653,0.009564031548099,0.0306021823133097,0.0094390011797335,0.0108454305743765,CLOSED,2,"left_eye_height_1, left_eye_height_2"
856,0.2991820777288398,0.3518255639995333,0.3255038208641866,0.0321002541256451,0.0099106846550253,0.0092969567948431,0.0287333731684037,0.0094694482940815,0.0107488221470838,CLOSED,3,"ear, left_eye_height_1, left_eye_height_2"
857,0.3068203224284168,0.3682894954919541,0.3375549089601855,0.0324096024841883,0.0102663662384813,0.0096214831294696,0.0285933997916591,0.0098131680965985,0.0112481294707412,CLOSED,4,"right_ear, ear, left_eye_height_1, left_eye_height_2"
858,0.361196022509843,0.3669959193565372,0.3640959709331901,0.0326617075049417,0.0120826500530677,0.0115119076252619,0.0290333818097175,0.0100999322725622,0.0112103330260111,CLOSED,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
859,0.3307416622450124,0.3197498567257916,0.325245759485402,0.0330782371639051,0.0111982735617146,0.0106824287257348,0.028800909107942,0.0086666993539529,0.0097514737677211,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
860,0.3248704346430379,0.3149190112078512,0.3198947229254446,0.0326666248219389,0.0107296171604787,0.01049522404797,0.0287282914364712,0.0085474464075867,0.0095467238581422,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
